date type session sonde_id sonde_position time_launch time_depart time_end duration altitude pressure sonde_depart sonde_OK errors
2019-02-10 auto 11:00 810210958 11 11:00:00 11:00:55 13:06:39 7544.0 31571 87 1 1 NA
2019-02-10 auto 23:00 810210951 12 23:00:00 23:00:41 00:48:09 6448.0 28334 137 1 1 NA
2019-02-11 auto 11:00 808210595 1 NA NA NA NA NA NA 0 0 2
2019-02-11 auto 11:00 810210939 2 11:00:00 11:00:51 12:42:32 6101.0 23955 275 1 1 NA
2019-02-11 auto 23:00 808210595 1 NA NA NA NA NA NA 0 0 2
2019-02-11 auto 23:00 810211142 2 NA NA NA NA NA NA 0 0 NA
2019-02-12 auto 11:00 810210948 3 11:00:00 11:00:47 12:48:16 6449.0 30618 98 1 1 NA
2019-02-12 auto 23:00 810210942 4 23:00:00 23:00:47 01:01:26 7239.0 30668 98 1 1 NA
2019-02-13 auto 11:00 810210944 5 11:00:00 11:00:45 13:05:28 7483.0 30813 96 1 1 NA
2019-02-13 auto 23:00 810210941 6 23:00:00 23:00:58 00:50:28 6570.0 30222 105 1 1 NA
2019-02-14 auto 11:00 810210938 7 11:00:00 11:00:41 12:25:51 5110.0 11328 2220 1 1 NA
2019-02-14 auto 23:00 810211146 8 23:00:00 23:00:58 00:49:28 6510.0 28873 128 1 1 NA
2019-02-15 auto 11:00 810210949 9 11:00:00 11:00:50 12:53:23 6753.0 31140 91 1 1 NA
2019-02-15 auto 23:00 810210989 10 23:00:00 23:00:48 00:54:22 6814.0 30461 100 1 1 NA
2019-02-16 auto 11:00 810211144 11 11:00:00 11:00:59 12:47:27 6388.0 29657 113 1 1 NA
2019-02-16 auto 23:00 810211145 12 23:00:00 23:00:39 23:54:24 3225.0 11965 1967 1 1 NA
2019-02-17 auto 11:00 205211373 2 11:00:00 11:00:41 12:59:19 7118.0 30739 97 1 1 NA
2019-02-17 auto 23:00 511214081 3 23:00:00 23:00:45 00:48:13 6448.0 28932 126 1 1 NA
2019-02-18 auto 11:00 612213334 4 11:00:00 11:01:29 13:01:07 7178.0 29221 122 1 1 NA
2019-02-18 auto 23:00 707211807 5 23:00:00 23:00:39 NA NA NA NA 1 0 13
2019-02-18 auto 23:00 205212114 4 NA NA NA NA NA NA 0 0 6
2019-02-18 auto 23:00 810210394 3 23:35:21 23:36:07 00:41:00 3893.0 18876 631 1 1 NA
2019-02-19 auto 11:00 707211919 6 11:00:00 11:00:43 NA NA NA NA 1 0 13
2019-02-19 auto 11:00 810210940 7 11:25:45 11:26:42 NA NA NA NA 1 0 13
2019-02-19 auto 23:00 205211933 2 23:00:00 NA NA NA NA NA 0 0 27
2019-02-19 auto 23:00 804212413 12 23:09:56 NA NA NA NA NA 0 0 27
2019-02-20 auto 11:00 810210943 8 11:00:00 11:00:39 NA NA NA NA 1 0 13
