"data"	"fitxer"	"sessió"	"id_sond"	"realit"	"hora"	"dur.min."	"alti.m."	"press.hPa."	"rellanç"	"llanç.fall"	"activ"	"sond_voladores"	"errors"	"valv.fall"
"2019-03-20"	"19032200.log"	"11:00"	"810210126 "	1	"12:53:15"	"112.5"	"29379"	12.5	1	1	2	1	NA	NA
"2019-03-20"	"19032200.log"	"23:00"	" 810210061"	1	"00:31:57"	"91.24"	"26042"	20.9	0	0	1	1	NA	NA
"2019-03-21"	"19032300.log"	"11:00"	" 810210117"	1	"12:53:40"	"112.5"	"30742"	10.3	0	0	1	1	NA	NA
"2019-03-21"	"19032300.log"	"23:00"	"810210138 "	1	"00:46:09"	"105.4"	"30544"	10.6	0	0	1	1	NA	NA
"2019-03-22"	"19032400.log"	"11:00"	"810210127 "	1	"12:45:11"	"104.4"	"29774"	12	0	0	1	1	NA	NA
"2019-03-22"	"19032400.log"	"23:00"	"810210153 "	1	"00:43:09"	"102.4"	"29309"	12.8	0	0	1	1	NA	NA
"2019-03-23"	"19032500.log"	"11:00"	"810210107 "	1	"12:41:00"	"100.3"	"25088"	24.4	0	0	1	1	NA	NA
"2019-03-23"	"19032500.log"	"23:00"	"810210105 "	1	"00:31:55"	"91.24"	"24092"	28.5	0	0	1	1	NA	NA
"2019-03-24"	"19032600.log"	"11:00"	" 810210103"	1	"12:44:12"	"103.4"	"28053"	15.4	0	0	1	1	NA	NA
"2019-03-24"	"19032600.log"	"23:00"	" 205212114"	0	NA	NA	NA	NA	NA	2	3	1	"IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED , IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED"	"B11"
"2019-03-24"	"19032600.log"	"23:00"	" 810210097"	0	NA	NA	NA	NA	NA	2	3	1	"Sonde ascent not detected                                          "	"B12"
"2019-03-24"	"19032600.log"	"23:00"	"810210089 "	1	"00:50:56"	"100.3"	"27943"	15.6	2	2	3	1	NA	NA
"2019-03-25"	"19032700.log"	"11:00"	"810210102 "	1	"12:49:12"	"108.5"	"29652"	12.1	0	0	1	1	NA	NA
"2019-03-25"	"19032700.log"	"23:00"	"810210108 "	1	"23:54:32"	"53.73"	"14839"	123	0	0	1	1	NA	NA
"2019-03-26"	"19032800.log"	"11:00"	"810210104 "	1	"12:40:00"	"99.35"	"27547"	16.5	0	0	1	1	NA	NA
"2019-03-26"	"19032800.log"	"23:00"	"810210009 "	1	"00:50:15"	"109.5"	"30494"	10.6	0	0	1	1	NA	NA
"2019-03-27"	"19032900.log"	"11:00"	"809214489 "	1	"12:46:06"	"105.4"	"30113"	11.2	0	0	1	1	NA	NA
"2019-03-27"	"19032900.log"	"23:00"	"809214485 "	1	"00:45:17"	"104.4"	"31488"	9.3	0	0	1	1	NA	NA
"2019-03-28"	"19033000.log"	"11:00"	"809214482 "	1	"12:46:09"	"105.4"	"29419"	12.7	0	0	1	1	NA	NA
"2019-03-28"	"19033000.log"	"23:00"	"809214491 "	1	"00:28:10"	"87.18"	"23369"	32.4	0	0	1	1	NA	NA
"2019-03-29"	"19033100.log"	"11:00"	"809214507 "	1	"12:33:58"	"93.28"	"26968"	18.6	0	0	1	1	NA	NA
