"Data"	"Sessio"	"Realitzat"	"Hora"	"Durada"	"Altitud"	"Pressio"	"Rellancaments"	"Fallida"	"Sondes"
2013-03-12	"mati"	"Si"	"12:41:11"	100	27978	15	0	"Correcte"	1
2013-03-12	"nit"	"Si"	"00:32:01"	91	26338	19.3	0	"Correcte"	1
2013-03-13	"mati"	"No"	NA	NA	NA	NA	1	"B3 B2"	2
2013-03-13	"nit"	"No"	NA	NA	NA	NA	0	"B4 "	1
2013-03-14	"mati"	"Si"	"12:23:46"	82	26727	18.4	0	"Correcte"	1
2013-03-14	"nit"	"Si"	"00:21:57"	81	25397	22.5	0	"Correcte"	1
2013-03-15	"mati"	"Si"	"12:51:18"	110	28320	14.5	0	"Correcte"	1
2013-03-15	"nit"	"Si"	"00:36:06"	95	29012	13.3	0	"Correcte"	1
2013-03-16	"mati"	"Si"	"12:28:57"	88	28159	15	0	"Correcte"	1
2013-03-16	"nit"	"Si"	"00:42:34"	101	27148	17.6	0	"Correcte"	1
2013-03-17	"mati"	"Si"	"12:16:10"	75	18463	67.9	0	"Correcte"	1
2013-03-17	"nit"	"Si"	"00:15:49"	75	20980	45.5	0	"Correcte"	1
2013-03-18	"mati"	"Si"	"12:39:37"	98	28285	14.8	0	"Correcte"	1
2013-03-18	"nit"	"Si"	"00:36:26"	95	28315	14.6	0	"Correcte"	1
2013-03-19	"mati"	"Si"	"12:29:01"	88	26396	19.5	0	"Correcte"	1
2013-03-19	"nit"	"Si"	"00:28:02"	87	21798	40.4	0	"Correcte"	1
2013-03-20	"mati"	"Si"	"12:41:23"	100	16174	98.9	0	"Correcte"	1
2013-03-20	"nit"	"Si"	"00:32:20"	91	28281	14.5	0	"Correcte"	1
2013-03-21	"mati"	"Si"	"12:40:10"	99	29397	12.3	0	"Correcte"	1
2013-03-21	"nit"	"Si"	"00:44:14"	103	27731	15.8	0	"Correcte"	1
2013-03-22	"mati"	"Si"	"12:35:25"	94	26881	18	0	"Correcte"	1
2013-03-22	"nit"	"Si"	"00:40:11"	99	27926	15.3	0	"Correcte"	1
2013-03-23	"mati"	"Si"	"12:39:17"	98	28599	13.9	0	"Correcte"	1
2013-03-23	"nit"	"Si"	"00:33:07"	92	26653	18.8	0	"Correcte"	1
2013-03-24	"mati"	"Si"	"12:45:15"	104	28691	13.7	0	"Correcte"	1
2013-03-24	"nit"	"Si"	"00:22:04"	81	21604	42.1	0	"Correcte"	1
2013-03-25	"mati"	"Si"	"12:53:35"	100	27998	15.4	1	"B5 "	2
2013-03-25	"nit"	"Si"	"00:18:15"	77	18329	70.8	0	"Correcte"	1
2013-03-26	"mati"	"Si"	"12:37:33"	96	27877	15.9	0	"Correcte"	1
2013-03-26	"nit"	"Si"	"00:12:29"	70	21728	41.2	0	"Correcte"	1
2013-03-27	"mati"	"Si"	"12:45:28"	104	28686	14.2	0	"Correcte"	1
2013-03-27	"nit"	"Si"	"00:54:27"	113	27567	16.8	0	"Correcte"	1
2013-03-28	"mati"	"Si"	"12:39:06"	98	27593	16.7	0	"Correcte"	1
2013-03-28	"nit"	"Si"	"00:37:07"	96	27472	17.1	0	"Correcte"	1
2013-03-29	"mati"	"Si"	"12:41:32"	100	28389	14.9	0	"Correcte"	1
2013-03-29	"nit"	"Si"	"00:49:42"	108	29528	12.6	0	"Correcte"	1
2013-03-30	"mati"	"Si"	"12:01:39"	60	17529	81.1	0	"Correcte"	1
2013-03-30	"nit"	"Si"	"00:45:15"	104	28312	15.1	0	"Correcte"	1
2013-03-31	"mati"	"Si"	"12:39:10"	98	27531	17.1	0	"Correcte"	1
2013-03-31	"nit"	"Si"	"01:02:32"	121	30514	11	0	"Correcte"	1
2013-04-01	"mati"	"Si"	"12:34:23"	93	26180	21	0	"Correcte"	1
2013-04-01	"nit"	"Si"	"00:42:14"	101	28410	15.1	0	"Correcte"	1
2013-04-02	"mati"	"Si"	"12:27:04"	86	27890	16.3	0	"Correcte"	1
2013-04-02	"nit"	"Si"	"00:29:02"	88	28275	15.4	0	"Correcte"	1
2013-04-03	"mati"	"Si"	"12:47:14"	106	27241	18	0	"Correcte"	1
2013-04-03	"nit"	"Si"	"00:23:57"	83	26800	19.3	0	"Correcte"	1
2013-04-04	"mati"	"Si"	"12:39:08"	98	25685	22.8	0	"Correcte"	1
2013-04-04	"nit"	"Si"	"00:43:20"	102	27038	18.5	0	"Correcte"	1
2013-04-05	"mati"	"Si"	"12:09:58"	68	18622	67.1	0	"Correcte"	1
2013-04-05	"nit"	"Si"	"00:10:57"	69	17603	78.7	0	"Correcte"	1
2013-04-06	"mati"	"Si"	"12:30:01"	89	26451	20	0	"Correcte"	1
2013-04-06	"nit"	"Si"	"00:36:08"	95	24752	26	0	"Correcte"	1
2013-04-07	"mati"	"Si"	"12:45:16"	104	27972	15.8	0	"Correcte"	1
2013-04-07	"nit"	"Si"	"00:42:14"	101	28787	14	0	"Correcte"	1
2013-04-08	"mati"	"Si"	"12:39:06"	98	26488	19.8	0	"Correcte"	1
2013-04-08	"nit"	"Si"	"00:39:17"	98	28632	14.3	0	"Correcte"	1
2013-04-09	"mati"	"Si"	"12:28:17"	87	28002	15.9	0	"Correcte"	1
2013-04-09	"nit"	"Si"	"01:00:42"	119	29344	13	0	"Correcte"	1
2013-04-10	"mati"	"Si"	"12:36:07"	95	27285	17.8	0	"Correcte"	1
2013-04-10	"nit"	"Si"	"00:32:05"	91	25790	22.4	0	"Correcte"	1
2013-04-11	"mati"	"Si"	"12:28:01"	87	27116	18.5	0	"Correcte"	1
2013-04-11	"nit"	"Si"	"00:43:10"	101	29106	13.7	0	"Correcte"	1
2013-04-12	"mati"	"Si"	"12:45:27"	104	29654	12.8	0	"Correcte"	1
2013-04-12	"nit"	"Si"	"00:26:58"	86	28177	15.9	0	"Correcte"	1
2013-04-13	"mati"	"Si"	"12:35:00"	94	28015	16.3	0	"Correcte"	1
2013-04-13	"nit"	"Si"	"00:46:12"	105	28821	14.6	0	"Correcte"	1
2013-04-14	"mati"	"Si"	"12:33:04"	92	28722	14.9	0	"Correcte"	1
2013-04-14	"nit"	"Si"	"00:44:14"	103	27971	16.6	0	"Correcte"	1
2013-04-15	"mati"	"Si"	"12:42:55"	102	28463	15.4	0	"Correcte"	1
2013-04-15	"nit"	"Si"	"00:40:10"	99	28340	15.6	0	"Correcte"	1
2013-04-16	"mati"	"Si"	"12:40:05"	99	28577	15.1	0	"Correcte"	1
2013-04-16	"nit"	"Si"	"00:35:09"	94	29350	13.4	0	"Correcte"	1
