"Data"	"Hora"	"Error"
2016-02-14	"11:02:22"	"No start detection by IR2010"
2016-02-26	"10:50:28"	"Sonde unknown"
2016-02-29	"11:29:24"	"End before 150 hPa 2459m 746.0hPa"
2016-02-29	"12:20:53"	"End before 150 hPa 8480m 322.8hPa"
2016-02-29	"13:05:30"	"End before 150 hPa 7997m 346.8hPa"
2016-02-29	"11:02:22"	"No start detection by IR2010"
2016-03-09	"22:52:47"	"Valve ejected, sonde switched"
2016-03-10	"22:53:17"	"No GPS"
2016-03-10	"22:55:36"	"Valve ejected, sonde switched"
2016-03-29	"10:50:25"	"Batteries too low 4.6V"
2016-04-03	"22:50:34"	"SONDE NOT RECEIVED"
2016-04-11	"11:55:29"	"End before 150 hPa 13084m 163.9hPa"
2016-04-13	"11:03:41"	"Analysis aborted (< 2 points) 280m 999.1hPa"
2016-04-16	"23:40:43"	"End before 150 hPa 11987m 196.4hPa"
2016-04-17	"23:49:19"	"End before 150 hPa 11334m 217.7hPa"
2016-04-25	"11:38:15"	"Temperature faillure 10229m 255.2hPa"
2016-05-12	"10:56:19"	"No GPS"
2016-06-03	"22:54:58"	"Balloon disappearance, ejection"
2016-06-05	"10:50:29"	"Humidity sensor KO"
2016-06-08	"00:18:42"	"End before 150 hPa 12950m 176.3hPa"
2016-06-15	"23:08:45"	"Temperature faillure 1005m 891.2hPa"
2016-06-15	"23:09:16"	"Humidity sensor KO"
2016-06-19	"11:34:09"	"Temperature faillure 9041m 319.0hPa"
2016-06-22	"11:05:46"	"Analysis aborted (< 2 points) 269m 1010.5hPa"
2016-06-22	"11:46:35"	"Temperature faillure 7983m 379.9hPa"
2016-06-27	"23:34:07"	"End before 150 hPa 4758m 577.3hPa"
2016-06-27	"00:07:43"	"End before 150 hPa 3938m 639.1hPa"
2016-07-02	"11:02:41"	"End before 150 hPa 343m 979.9hPa"
2016-07-03	"10:50:39"	"Humidity sensor KO"
2016-07-07	"10:50:25"	"Humidity sensor KO"
2016-07-07	"23:11:47"	"End before 150 hPa 262m 1008.0hPa"
2016-07-09	"23:05:43"	"End before 150 hPa 1138m 893.1hPa"
2016-07-12	"12:09:38"	"End before 150 hPa 13917m 154.7hPa"
2016-07-12	"12:16:03"	"No GPS"
2016-07-18	"11:37:10"	"End before 150 hPa 10491m 266.3hPa"
2016-07-18	"11:37:40"	"Humidity sensor KO"
2016-08-13	"10:50:24"	"Humidity sensor KO"
2016-08-13	"22:56:53"	"Balloon disappearance, ejection"
2016-08-15	"10:50:25"	"Humidity sensor KO"
2016-08-15	"10:50:45"	"Humidity sensor KO"
2016-08-16	"11:29:03"	"Temperature faillure 6796m 441.0hPa"
2016-08-19	"11:36:06"	"End before 150 hPa 5389m 531.8hPa"
2016-08-19	"22:57:54"	"Humidity sensor KO"
2016-08-19	"22:57:07"	"Balloon disappearance, ejection"
2016-08-20	"11:58:28"	"End before 150 hPa 10882m 249.6hPa"
2016-08-20	"12:42:51"	"End before 150 hPa 9614m 299.0hPa"
2016-08-23	"11:47:17"	"End before 150 hPa 13039m 182.4hPa"
2016-08-25	"11:02:23"	"No start detection by IR2010"
2016-08-28	"11:15:52"	"End before 150 hPa 4042m 634.0hPa"
2016-08-28	"11:16:23"	"Humidity sensor KO"
2016-08-28	"12:02:54"	"Temperature faillure 9271m 317.2hPa"
2016-08-29	"22:50:25"	"Humidity sensor KO"
2016-09-02	"11:12:10"	"End before 150 hPa 2979m 720.8hPa"
2016-09-02	"23:28:02"	"Temperature faillure 6828m 442.8hPa"
2016-09-06	"23:52:22"	"Temperature faillure 13656m 164.7hPa"
2016-09-12	"11:18:18"	"End before 150 hPa 4433m 599.8hPa"
2016-09-13	"11:31:04"	"End before 150 hPa 4112m 622.3hPa"
2016-09-13	"23:13:13"	"End before 150 hPa 3691m 649.8hPa"
2016-09-13	"00:00:46"	"End before 150 hPa 6815m 434.7hPa"
